name,value,words
computer,0.36,driver / version / ftp / mous / printer / site / diamond / bbs / cica / latest
dos,0.15,window / dos / run / program / manag / ms / applic / display / font / screen
guns,0.12,gun / law / right / govern / peopl / state / crime / weapon / crimin / firearm
computer image,0.11,card / video / monitor / color / bus / vga / slot / graphic / mode / ram
others,0.25, 
